distance,location,isReturn,duration,description,difficulty,state,isOneWay,url,name,features/0,features/1,features/2,features/3,features/4,features/5,features/6,features/7,features/8,features/9
72000,New South Wales,true,2880,"This was my first solo walk, under the strick instructions of my family i was to make sure i didnt do something too hard if i was going to be doing this myself... I really enjoyed this, as there was not much water supplies i ahd to carry alot of water making my full pack about 17kgs. I did plan to do this walk in 4 days. Angoruie to Brooms head, Brooms head to illaroo and then back, however as i was by myself i powered through and did 36km each day, silly me got huge blisters and had to turn back in the morning otherwise i wouldve kept going.",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/angourie-to-illaroo,Angourie to Illaroo,,,,,,,,,,
1000,New South Wales,true,40,"This is a series of small walks combined.  Great views of the harbour.  Several picnic areas, dedication plaques, foreshore caves and historic flagpole. The flagpole is situated 300ft above sea level, marking the highest point west of the Harbour Bridge. In early settlement times it was used as means of communication with Government House.",Very Easy,nsw,false,https://www.aussiebushwalking.com/nsw/balls-head-reserve,Balls Head Reserve,Public Transport,Coastal,,,,,,,,
2000,New South Wales,true,45,"A relatively hard walk, 45 leisurely minutes return on a loop track. The headland is the highest point on Sydney's northern coastline, and offers spectacular views south to Sydney and north to Broken Bay and the central coast.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/bangalley-headland,Bangalley Headland,,,,,,,,,,
4000,New South Wales,false,60,Balmoral to The Spit Bridge,Easy,nsw,true,https://www.aussiebushwalking.com/nsw/balmoral-to-the-spit-bridge,Balmoral to The Spit Bridge,Lookouts,Navigation Required,Dogs Permitted,Coastal,,,,,,
500,New South Wales,true,15,"A nice walk if you are in the area, and worth doing before Pulpit Rock lookout. This walk is not as busy as many of the other lookout walks in the area. The view across the valley is fantastic. The lookout makes a great place for a picnic lunch, and the lack of crowds makes it that much more attractive",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/anvil-rock,Anvil Rock,,,,,,,,,,
10000,New South Wales,false,180,"Spectacular coastal walk on a convict-built track, along idyllic surf beaches and over dramatic headlands.",Medium,nsw,true,https://www.aussiebushwalking.com/nsw/barrenjoey-lighthouse-to-avalon,Barrenjoey Lighthouse to Avalon,,,,,,,,,,
8000,New South Wales,true,180,"This walk to Baltzer Lookout along Burramoko Ridge rewards you with excellent scenery and a view over the stunning Hanging Rock (aka the Finger). The track is mainly management trail, and would be great on a mountain bike (to the end of the management trail). The large cliff edges are unfenced and quite exposed, so do take care. Although short and relatively unchanging in scenery, the walk to Baltzer Lookout is well worth it.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/baltzer-lookout-hanging-rock-,Baltzer Lookout (Hanging Rock),,,,,,,,,,
3500,New South Wales,true,90,An easy loop track in the William's River area of Barrington Tops National Park that takes you over a couple of bridges that cross the William's River as well as a small water hole.,Easy,nsw,false,https://www.aussiebushwalking.com/nsw/blue-gum-loop-track,Blue Gum Loop Track,Waterfalls,Swimming,Bird Watching,Picnic Facilities,BBQ,Toilets,Rainforest,,,
5000,New South Wales,false,150,"This walk begins at the Log Bridge Creek picnic area, Approx 16 km south of Tumut on the Snowy Mountains Hwy. The track has some steep sections, along with amazing veiws over Blowering Reservoir. It ends at the base of the Cliff Falls. A short walk, however one not to be missed in the Tumut area.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/blowering-cliffs-walk,Blowering Cliffs Walk,,,,,,,,,,
8700,New South Wales,false,240,"Following Cowan Creek, this walk is one of the most pleasant in the Ku-ring-gai Chase National Park, with great views over the water as well as nice views from the ridge at Berowra. Be sure to stop at the cafe for a cuppa in Bobbin Head before going home. Apple Tree Bay is also a very pleasant spot to take a break and enjoy the day.",Medium,nsw,true,https://www.aussiebushwalking.com/nsw/berowra-to-bobbin-head-,Berowra to Bobbin Head,Public Transport,No Dogs Permitted,Coastal,,,,,,,
6000,New South Wales,false,165,"This pleasant walk follows the Great North Walk from Berowra Station down to Berowra Waters. On this walk you will spend much of the time on ridges enjoying scattered views across the Berowra Creek Valley, there are especially good views from Naa Badu Lookout. The walk crosses a few moist and cool gullies and scrambles for a few rocky outcrops. There are some steep climbs, and some pleasant strolls alongside the Berowra Creek. A short side trip at the end of the walk uses the ferry to cross the creek, to a cafe where you can grab a well deserved ice cream or lunch.",Medium,nsw,true,https://www.aussiebushwalking.com/nsw/berowra-to-berowra-waters-,Berowra to Berowra Waters (GNW),Lookouts,No Dogs Permitted,No Cycling Permitted,,,,,,,
7000,New South Wales,true,null,"This track is an extension of the Hidden Treasure track, if you would like a more strenuous, longer walk.",Hard,nsw,false,https://www.aussiebushwalking.com/nsw/basin-loop-track,Basin Loop Track,Bird Watching,Picnic Facilities,BBQ,Toilets,,,,,,
700,New South Wales,true,30,"From the Grand Arch walk alongside the Blue Lake, where you might see a platypus!  Beyond the reservoir wall a bridge takes you across the rive and back along the other side of the lake under the 1896 De Burghs bridge then back to the Grand Arch.",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/blue-lake-river-walk,Blue Lake River Walk,No Swimming,No Public Transport,No Dogs Permitted,,,,,,,
3500,New South Wales,true,180,"The track skirts the edge of a hanging swamp, still clearly defined after fire by the different plant communities.  Acknowledge the traditional inhabitants of the land as you relax beside grinding grooves on the top of a picturesque waterfall with views of the gully.  See the remains of the sand mining quarry which provided materials for the old Pacific Highway.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/bird-gully-swamp,Bird Gully Swamp,,,,,,,,,,
7200,New South Wales,false,180,"This is a hilly walk out of the beautiful Berowra Waters valley to Cowan Station. There are many wide views across Berowra Creek providing some great excuses for well deserved rest stops. Take your time to enjoy the views, and rock formations, and creek crossings along the way as the track leads a nearly direct route to Cowan Station, through a wonderfully remote section of bushland.",Hard,nsw,true,https://www.aussiebushwalking.com/nsw/berowra-waters-to-cowan-station-gnw-,Berowra Waters to Cowan Station (GNW),Lookouts,No Dogs Permitted,,,,,,,,
13000,New South Wales,false,360,"This varied walk travels north through the Watagans. Leaving the Basin campsite behind, the walk traverses the Wollombi Brook via the Lyrebird trail. The Wollombi Brook Pool is a great spot to stop (and take a swim) on a hot day.  From the pool, the walk climbs into the Warrawolong Flora Reserve using a combination of bush tracks and dirt roads. Along the way, a side trip to Mt Warrawolong offers views on the way to the highest point in the area. This walk finishes by descending into the beautiful Watagan Valley.",Hard,nsw,true,https://www.aussiebushwalking.com/nsw/basin-campsite-to-watagan-valley-gnw-,Basin Campsite to Watagan Valley (GNW),,,,,,,,,,
1200,New South Wales,true,45,Take a break from touring the Tweed Range scenic drive and stop in at Border loop.,Very Easy,nsw,false,https://www.aussiebushwalking.com/nsw/border-loop-walk-border-ranges-national-park,Border loop walk - Border Ranges National Park,,,,,,,,,,
8000,New South Wales,false,240,catch a train to Bondi junction then a Bus to Bondi beach.,Easy,nsw,true,https://www.aussiebushwalking.com/nsw/bondi-to-maroubra,Bondi to Maroubra,,,,,,,,,,
6000,New South Wales,false,120,"Technically not a bushwalk, this meander takes you along a coastal pathway from Bondi Beach through Bronte and the Waverley Cemetery to Coogee beach.",Easy,nsw,true,https://www.aussiebushwalking.com/nsw/bondi-to-coogee,Bondi to Coogee,Lookouts,Dogs Permitted,Coastal,,,,,,,
3000,New South Wales,false,60,"This is the most famous, most walked track in Sydney, no question, and for good reasons. Sure, itâ€™s easy to get to, and passes between two of Australiaâ€™s best-known beaches, Bondi and Bronte. And sure, itâ€™s a great place for celebrity spotting, or being seen.",Easy,nsw,true,https://www.aussiebushwalking.com/nsw/bondi-to-bronte,Bondi to Bronte,Swimming,Picnic Facilities,BBQ,Toilets,Coastal,,,,,
5000,New South Wales,true,120,"An easy walk along the side of Boggy Creek. A few tree roots and narrow path at times, with plenty of opportunities to cool your feet in the waters as it cascades over the boulders. Some rather large Land Mullet can be seen along the way.",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/boggy-creek-walk,Boggy Creek Walk,Picnic Facilities,BBQ,Toilets,,,,,,,
4150,New South Wales,true,60,"This return walk travels through the Rainbow Bay, Point Danger, the QLD/NSW border and Duranbah Beach (North Tweed).  The entire circuit is paved.",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/boat-harbour-point-danger-and-north-tweed-circuit,"Boat Harbour, Point Danger and North Tweed Circuit",Lookouts,Swimming,Picnic Facilities,BBQ,Toilets,Public Transport,Dogs Permitted,Coastal,,
500,New South Wales,true,20,"This short, pleasant walk, starts close to the Glenbrook entrance of the Blue Mountains National Park. The walk follows a staircase and track down to Blue Pool. The blue colouring of the water can vary in intensity, depending on water and weather conditions. A popular swimming hole, this creek is particularly dangerous after rain, take care when swimming.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/blue-pool-track,Blue Pool Track,Swimming,No Dogs Permitted,Cycling Permitted,,,,,,,
10500,New South Wales,true,300,A rainforest walk linking The sheepstation Creek campsite with the Forest Tops campsite in the Boarder Ranges National Park.,Medium,nsw,false,https://www.aussiebushwalking.com/nsw/booyong-walk,Booyong Walk,Bird Watching,Picnic Facilities,BBQ,Toilets,Rainforest,,,,,
1200,New South Wales,true,30,A short walk through wet eucalypt and rainforest close to the Queensland/New South Wales border in the Border Ranges National Park.,Easy,nsw,false,https://www.aussiebushwalking.com/nsw/border-loop-walk,Border Loop Walk,Lookouts,Bird Watching,Picnic Facilities,BBQ,Toilets,Rainforest,,,,
6800,New South Wales,true,150,"On this loop walk you will enjoy some grand ocean views, a few secluded beaches, rock shelves and some Aboriginal engravings. The walk starts in the community of Bundeena and follows the roads to Jibbon Beach then along the track to Jibbon Head and Shelley beach, then a long stretch of sandy management trail through the heath. The walk also describes a side trip to Bundeena Lookout.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/bundeena-to-jibbon-head-circuit-,Bundeena to Jibbon Head Circuit,Lookouts,Swimming,No Dogs Permitted,Coastal,,,,,,
5000,New South Wales,false,105,The views along Bradleys Head to Chowder Bay walk are almost too good to be true. The gentle bush track weaves around the harbour headlands from Taronga Zoo Wharf around Bradleys Head to Chowder Bay and is guaranteed to impress. You can see the Opera House and Harbour Bridge â€“ Sydneyâ€™s most famous icons â€“ in all their glory.,Easy,nsw,true,https://www.aussiebushwalking.com/nsw/bradleys-head-to-chowder-bay-walk,Bradleys Head to Chowder Bay Walk,Lookouts,Dogs Permitted,Coastal,,,,,,,
12000,New South Wales,true,360,"A beautiful walk starting at Brindle Creek Picnic Area, Border Ranges National Park.  Stunning rainforest with well maintained track. Numerous easy creek crossing and  a waterfall with large boulders you can sit on for a relaxing lunch break mid walk. The track is moderate (easy in many places) but the distance and time it takes is deceiving.  We left at 11am and did not complete the walk which is 5.5 - 6km each way depending on which sign you read.  A great winter walk but leave by 9am as the rainforest gets dark early.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/brindle-creek-walking-track,Brindle Creek Walking track,,,,,,,,,,
8000,New South Wales,false,210,"The Bouddi Coastal Walk is a relatively easy walk and is well worth a visit as it is one of the most picturesque walks on the Central Coast. Enjoy fantastic views along the coast, see amazing rock formations, enjoy the vast variety of plant communities and explore pristine beaches.",Medium,nsw,true,https://www.aussiebushwalking.com/nsw/bouddi-coastal-walk,Bouddi Coastal Walk,Lookouts,Swimming,Picnic Facilities,BBQ,Toilets,No Dogs Permitted,Coastal,,,
2500,New South Wales,false,45,"This walk goes from Milsons Point Train Station across the Harbour Bridge and ends at the Royal Botanic Gardens.  Going across the Harbour Bridge you of course get amazing views of the harbour, Opera House, Circular Quay and more.  This walk can be done in either direction.",Easy,nsw,true,https://www.aussiebushwalking.com/nsw/cahill-walk-harbour-bridge-walk-,Cahill Walk (Harbour Bridge Walk),Lookouts,Public Transport,Dogs Permitted,Coastal,,,,,,
1700,New South Wales,true,45,Cabbage Palm loop walking track in Wallingat National Park is a relatively short bushwalk over gentle hills with plenty of wildlife spotting and birdwatching opportunities.,Easy,nsw,false,https://www.aussiebushwalking.com/nsw/cabbage-palm-loop,Cabbage Palm Loop,Bird Watching,Picnic Facilities,Rainforest,,,,,,,
1000,New South Wales,false,30,A lovely walk in Barrington Tops National Park southern section through an Antarctic Beech and fun forest leading to a swamp.,Easy,nsw,true,https://www.aussiebushwalking.com/nsw/burraga-swamp-track,Burraga Swamp Track,Bird Watching,Rainforest,Swamp or Wetland,,,,,,,
7400,New South Wales,false,135,"This walk gives you the chance to explore the bush and wetlands alongside the Lane Cove River, from Boronia Park to the new underground train station at North Ryde. You will visit several mangrove wetlands, some dry eucalypt forests and have the opportunity to rest and fill up your water bottle at a few well maintained parks. This walk comes with two options:",Medium,nsw,true,https://www.aussiebushwalking.com/nsw/boronia-park-to-lane-cove-weir-gnw-,Boronia Park to Lane Cove Weir (GNW),Picnic Facilities,BBQ,Toilets,No Dogs Permitted,,,,,,
1000,New South Wales,false,null,"Brushbox Falls lookout is in the eastern precinct of Border Ranges National Park. To get there, follow Palm Forest walking track from Sheepstation Creek campground for 1km.",Very Easy,nsw,true,https://www.aussiebushwalking.com/nsw/brushbox-falls-lookout,Brushbox Falls Lookout,,,,,,,,,,
1000,New South Wales,true,30,An easy walk through dry rainforest in Woko National Park.,Easy,nsw,false,https://www.aussiebushwalking.com/nsw/brush-turkey-track,Brush Turkey Track,Swimming,Bird Watching,Picnic Facilities,BBQ,Toilets,Rainforest,,,,
9700,New South Wales,false,270,"This section of the Great North Walk makes a good walk to a comfortable campsite, with the section along the Lyrebird Trail by the Wollombi Brook being particularly recommended. From the Cedar Brush track head, the walk winds up into the Olney State Forest through bushland (crossing over two moist gullies).  Once most of your height is gained, this walk follows unsealed road before dropping down into the Wollombi Brook gully. From here, the walk follows bush tracks along Lyrebird Trail and to the Basin Campsite",Hard,nsw,true,https://www.aussiebushwalking.com/nsw/cedar-brush-to-basin-campsite-gnw-,Cedar Brush to Basin Campsite (GNW),,,,,,,,,,
2200,New South Wales,true,60,"Cattai Wetlands was once farmland suffering from the effects of land clearing, but was purchased by council with a view to restoring the ecosystem to what it should be. This is a walk around the  wetland.",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/cattai-wetlands-loop,Cattai Wetlands Loop,Bird Watching,Picnic Facilities,Toilets,Swamp or Wetland,,,,,,
840,New South Wales,true,15,A short walk through the forest near the Cattai Wetlands.,Medium,nsw,false,https://www.aussiebushwalking.com/nsw/cattai-wetlands-forest-loop,Cattai Wetlands Forest Loop,Bird Watching,Toilets,,,,,,,,
5800,New South Wales,false,180,"Start at the Barokee rest area. Walk passes through swampy heath, wet and dry schlerophyll forest, ascending through granite outcrops. There is a 400m rock hop/scramble to reach the top of Cathedral rock (there is a chain for a particularly difficult scramble - the gaps and chasms between the boulders are deep so be wary.), which has lovely views of the surrounding grazing properties and nearby national parks and forests.  Descend the way you climbed and return by the rest of the loop.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/cathedral-rocks-loop,Cathedral Rocks loop,,,,,,,,,,
14000,New South Wales,true,240,"Exploring the coastline of the Royal National Park, this walk has fantastic views and a great place to wet the toes at Little Marley Beach. Bundeena is a great place to start the walk, with places to grab a bite to eat. You can also catch the ferry from Cronulla to Bundeena, an excellent way to start a day of walking. With this walk, prepare to be astounded by great views of the ocean and cliffs.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/bundeena-to-little-marley-beach-,Bundeena to Little Marley Beach,Swimming,No Dogs Permitted,Coastal,,,,,,,
500,New South Wales,true,20,"With its cascades, waterholes and rockpools, some regard Carrington Falls, where the Kangaroo River plunges over 50m to the gully below, as the most beautiful on the South Coast. Head to Carrington Falls picnic area, also known as Thomas Place, in the parkâ€™s north west to see for yourself and thereâ€™s a good chance youâ€™ll agree.",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/carrington-falls-circuit,Carrington Falls Circuit,,,,,,,,,,
7300,New South Wales,true,180,"This Cape Banks Circuit has a lot to offer and is thoroughly recommended. The walking travels over beaches, through coastal forest and across exposed headlands.  Historically, this walk shows glimpses into the fortifications required during both World Wars. The optional side trip to the coast hospital cemetery, with over 2000 graves, is worthwhile. The Cape Banks Circuit makes for a fascinating walk, both scenically and historically, and is recommended.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/cape-banks-circuit,Cape Banks Circuit,Lookouts,Picnic Facilities,BBQ,Toilets,Public Transport,No Dogs Permitted,Coastal,,,
2500,New South Wales,true,60,Commence walk at the Cambridge Plateau picnic Area. This sub-tropical rainforest walk is level for a short while before descending steeply towards the valley where you cross a bridge and then the path ascends again steeply to skirt around the crest of the valley.,Medium,nsw,false,https://www.aussiebushwalking.com/nsw/calmaran-valley-trail,Calmaran Valley Trail,,,,,,,,,,
400,New South Wales,true,15,Short walk through rainforest. The track doesn't seem to get too much use and so isn't very clear in some places due to the leaf litter. There was a fallen tree near the end in what looked a bit like a clearing making it difficult to see where to go next. The path was to the right of the tree and we realised that we were all but back to the start. Not a very interesting walk. Disappointing.,Easy,nsw,false,https://www.aussiebushwalking.com/nsw/calmaran-loop-trail,Calmaran Loop Trail,,,,,,,,,,
1100,New South Wales,true,20,A side track off the Cattai Wetlands Loop Track which gives views over the area including the Three Brothers Mountains to the north.,Medium,nsw,false,https://www.aussiebushwalking.com/nsw/cattai-wetlands-lookout-loop,Cattai Wetlands Lookout Loop,Lookouts,Bird Watching,Toilets,,,,,,,
3500,New South Wales,true,60,"This walk explores part of the northern section of Garigal National Park and the upper reaches of Middle Harbour Creek. The walk follows a service trail from Douglas Street, St Ives, to cross Middle Harbour Creek, then explores a large rock platform with the Cascades. The cascades themselves are not huge, but the rock platform, rock pools, and the cascades combine to form a great place to explore and have a snack before the return journey",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/cascades-track,Cascades Track,Swimming,,,,,,,,,
6000,New South Wales,true,120,This sealed track winds around the back of the town of Cobar.  The walker then walks through town to return to the start. Information boards are located along the track to tell of things that you travel past including history and wildlife.,Easy,nsw,false,https://www.aussiebushwalking.com/nsw/centenary-of-federation-walking-track,Centenary of Federation Walking Track,,,,,,,,,,
8000,New South Wales,true,180,Stroll through the park's rich heathlands on Cooks Nose walking track and youâ€™ll be rewarded with striking scenic views from the escarpment overlooking Kangaroo Valley.,Medium,nsw,false,https://www.aussiebushwalking.com/nsw/cooks-nose,Cooks Nose,,,,,,,,,,
17200,New South Wales,false,420,"This full day walk starts from the Congewai valley trackhead (east) and follows the Great North Walk up into the Watagan National Park. Winding east along Georges road for the most part, this walk also passes many great lookouts and gives the option of a side trip down to the 125r lookout, which provides a great view to the south and nice spot for lunch. The walk finishes at the Watagan Headquarters campsite, which has a fire place and a picnic table.",Hard,nsw,true,https://www.aussiebushwalking.com/nsw/congewai-valley-trackhead-east-to-watagan-headquarters-gnw-,Congewai Valley Trackhead (East) to Watagan Headquarters (GNW),,,,,,,,,,
400,New South Wales,true,30,"This walk takes you to the top of Queen Mary Falls, which is part of the headwaters of one of Australia's longest river systems, the Murrayâ€“Darling. Great care should be taken when viewing the gorge below. Supervise children closely.",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/cliff-circuit,Cliff Circuit,Waterfalls,Lookouts,No Swimming,No Dogs Permitted,,,,,,
4000,New South Wales,true,120,"A strenuous walk which takes you past the bottom of the cliff face.  The track begins with dry rainforest, but changes to eucalypt when you reach the top.",Very Hard,nsw,false,https://www.aussiebushwalking.com/nsw/cliff-face-track,Cliff Face Track,Swimming,Bird Watching,Picnic Facilities,BBQ,Toilets,Rainforest,,,,
8000,New South Wales,false,195,"Starting from a small park in Charlestown you will follow the Great North Walk through a few reserves and along a Burwood Beach, past the heads to Merewether Beach. Exploring bush around Glenrock lagoon on the Yuelarbah Track, including the Leichhardtâ€™s Lookout are highlights. From this lookout the track leads down past the edge of the lagoon then along the sandy beach, past Merewether ocean pools. This walk describes a side trip to the scout campsite beside the lagoon for those who have organised to camp there.",Medium,nsw,true,https://www.aussiebushwalking.com/nsw/charlestown-to-merewether-gnw-,Charlestown to Merewether (GNW),,,,,,,,,,
9800,New South Wales,true,270,"This is a pleasant walk, taking you through some of Royal National Parks more diverse ecosystems. From Waterfall Station, the walk heads through the bush and heath, before descending to the rain forest and palms on the banks of the upper Hacking River. A great walk to explore Royal National Park's floral diversity",Hard,nsw,false,https://www.aussiebushwalking.com/nsw/couranga-track,Couranga Track,No Dogs Permitted,,,,,,,,,
500,New South Wales,true,10,"â€œWe had such a romantic day here. We rolled out the picnic blanket, popped open a bottle of wine and enjoyed the peaceful surroundings, before dipping in for an afternoon swim.â€",Easy,nsw,false,https://www.aussiebushwalking.com/nsw/collins-flat-beach-track,Collins Flat Beach Track,,,,,,,,,,
2000,New South Wales,false,40,The walk starts off at Chowder Bay heaps of historical buildings here.  It continues to Middle Head Fortification then to finishes at Balmoral Park.,Easy,nsw,true,https://www.aussiebushwalking.com/nsw/chowder-bay-to-balmoral,Chowder Bay to Balmoral,Lookouts,Dogs Permitted,Coastal,,,,,,,
13400,New South Wales,false,330,"This Cowan to Brooklyn Station walk is a popular section of the Great North Walk, with scenery ranging from foreshore to ridge top lookouts. You will follow the Great North Walk from Cowan Station down to the picturesque Jerusalem Bay, then climb up over a series of ridges before descending into Brooklyn. This walk is a great one-way trip from station to station with numerous water views, including a circumnavigation of Brooklyn Dam whilst enjoying a wonderful diversity of flora along the way.",Hard,nsw,true,https://www.aussiebushwalking.com/nsw/cowan-to-brooklyn-gnw-,Cowan to Brooklyn (GNW),,,,,,,,,,
7000,New South Wales,true,150,"Running from Fitzroy Falls Visitor Centre to Warrawong lookout in the northern section of the park, this self-guided wildflower walk is a nature-loverâ€™s dream.",Medium,nsw,false,https://www.aussiebushwalking.com/nsw/east-rim-track-full-,East Rim Track (Full),,,,,,,,,,
100,New South Wales,true,10,A short walk to a breathtaking view over Barrington Tops National Park.,Very Easy,nsw,false,https://www.aussiebushwalking.com/nsw/devil-s-hole-lookout,Devil's Hole Lookout,Lookouts,Bird Watching,Picnic Facilities,BBQ,Toilets,Wheelchair Accessibility,,,,
5000,New South Wales,true,110,A walk through the Long Point section of Oxley Wild Rivers National Park,Easy,nsw,false,https://www.aussiebushwalking.com/nsw/chandler-view-circuit,Chandler View Circuit,,,,,,,,,,
1000,New South Wales,true,20,Start at the viewing platform overlooking the falls.  Then follow the path downhill to the base of the falls. The bichumen path is in disrepair but has been replaced in some sections with a wooden staircase. You can swim at the base of the falls though jumping and diving is prohibited.,Easy,nsw,false,https://www.aussiebushwalking.com/nsw/dangar-falls,Dangar Falls,,,,,,,,,,
